Original_Files,Duplicate_Files,Duplicate?
class_diagrams/4dnucleome/cog-abm//AgentClassDiagram.png,class_diagrams/4dnucleome/cog-abm//doc-AgentClassDiagram.png,FALSE
class_diagrams/4dnucleome/cog-abm//SimulationClassDiagram.png,class_diagrams/4dnucleome/cog-abm//doc-SimulationClassDiagram.png,FALSE
class_diagrams/amikey/android-open-project-analysis//class-relation.png,class_diagrams/amikey/android-open-project-analysis//tool-lib-plugin-dynamic-load-apk-uml-class-relation.png,TRUE
class_diagrams/Andresteve07/FINAL_AyED//Diagrama_Clases_Final_AyED.png,class_diagrams/Andresteve07/FINAL_AyED//Otros-Diagrama_Clases_Final_AyED.png,TRUE
class_diagrams/Andresteve07/FINAL_AyED//Diagrama_Clases_Final_AyED_v2.png,class_diagrams/Andresteve07/FINAL_AyED//Otros-Diagrama_Clases_Final_AyED_v2.png,TRUE
class_diagrams/apache/struts-archive//tilesUML.gif,class_diagrams/apache/struts-archive//struts-doc-1.1-api-org-apache-struts-tiles-doc-files-tilesUML.gif,FALSE
class_diagrams/sebastianrahtz/oxgarage//uml.gif,class_diagrams/sebastianrahtz/oxgarage//ege-validator-src-site-resources-images-uml.gif,TRUE
class_diagrams/sebastianrahtz/oxgarage//uml.gif,class_diagrams/sebastianrahtz/oxgarage//ege-webclient-src-site-resources-images-uml.gif,TRUE
class_diagrams/sebastianrahtz/oxgarage//uml.gif,class_diagrams/sebastianrahtz/oxgarage//ege-webservice-src-site-resources-images-uml.gif,TRUE
class_diagrams/sebastianrahtz/oxgarage//uml.gif,class_diagrams/sebastianrahtz/oxgarage//ege-xsl-converter-src-site-resources-images-uml.gif,TRUE
class_diagrams/sebastianrahtz/oxgarage//uml.gif,class_diagrams/sebastianrahtz/oxgarage//src-site-resources-images-uml.gif,TRUE
class_diagrams/sebastianrahtz/oxgarage//uml.gif,class_diagrams/sebastianrahtz/oxgarage//tei-converter-src-site-resources-images-uml.gif,TRUE
class_diagrams/shigeya/omnetpp//classcAccuracyDetection.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcAccuracyDetection.png,TRUE
class_diagrams/shigeya/omnetpp//classcADByStddev.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcADByStddev.png,TRUE
class_diagrams/shigeya/omnetpp//classcArray.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcArray.png,TRUE
class_diagrams/shigeya/omnetpp//classcBoolParImpl.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcBoolParImpl.png,TRUE
class_diagrams/shigeya/omnetpp//classcChannel.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcChannel.png,TRUE
class_diagrams/shigeya/omnetpp//classcChannel_1_1MessageSentSignalValue.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcChannel_1_1MessageSentSignalValue.png,TRUE
class_diagrams/shigeya/omnetpp//classcChannelType.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcChannelType.png,TRUE
class_diagrams/shigeya/omnetpp//classcClassDescriptor.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcClassDescriptor.png,TRUE
class_diagrams/shigeya/omnetpp//classcCommBuffer.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcCommBuffer.png,TRUE
class_diagrams/shigeya/omnetpp//classcComponent.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcComponent.png,TRUE
class_diagrams/shigeya/omnetpp//classcComponentType.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcComponentType.png,TRUE
class_diagrams/shigeya/omnetpp//classcCompoundModule.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcCompoundModule.png,TRUE
class_diagrams/shigeya/omnetpp//classcConfigOption.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcConfigOption.png,TRUE
class_diagrams/shigeya/omnetpp//classcConfiguration.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcConfiguration.png,TRUE
class_diagrams/shigeya/omnetpp//classcConfigurationEx.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcConfigurationEx.png,TRUE
class_diagrams/shigeya/omnetpp//classcContextSwitcher.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcContextSwitcher.png,TRUE
class_diagrams/shigeya/omnetpp//classcDatarateChannel.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcDatarateChannel.png,TRUE
class_diagrams/shigeya/omnetpp//classcDefaultList.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcDefaultList.png,TRUE
class_diagrams/shigeya/omnetpp//classcDelayChannel.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcDelayChannel.png,TRUE
class_diagrams/shigeya/omnetpp//classcDeleteModuleException.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcDeleteModuleException.png,TRUE
class_diagrams/shigeya/omnetpp//classcDensityEstBase.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcDensityEstBase.png,TRUE
class_diagrams/shigeya/omnetpp//classcDoubleHistogram.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcDoubleHistogram.png,TRUE
class_diagrams/shigeya/omnetpp//classcDoubleParImpl.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcDoubleParImpl.png,TRUE
class_diagrams/shigeya/omnetpp//classcDynamicExpression.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcDynamicExpression.png,TRUE
class_diagrams/shigeya/omnetpp//classcDynamicExpression_1_1Functor.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcDynamicExpression_1_1Functor.png,TRUE
class_diagrams/shigeya/omnetpp//classcEnum.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcEnum.png,TRUE
class_diagrams/shigeya/omnetpp//classcEnvir.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcEnvir.png,TRUE
class_diagrams/shigeya/omnetpp//classcException.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcException.png,TRUE
class_diagrams/shigeya/omnetpp//classcExpression.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcExpression.png,TRUE
class_diagrams/shigeya/omnetpp//classcFSM.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcFSM.png,TRUE
class_diagrams/shigeya/omnetpp//classcGate.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcGate.png,TRUE
class_diagrams/shigeya/omnetpp//classcGenericAssignableWatch.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcGenericAssignableWatch.png,TRUE
class_diagrams/shigeya/omnetpp//classcGenericReadonlyWatch.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcGenericReadonlyWatch.png,TRUE
class_diagrams/shigeya/omnetpp//classcHasher.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcHasher.png,TRUE
class_diagrams/shigeya/omnetpp//classcHistogram.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcHistogram.png,TRUE
class_diagrams/shigeya/omnetpp//classcHistogramBase.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcHistogramBase.png,TRUE
class_diagrams/shigeya/omnetpp//classcIdealChannel.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcIdealChannel.png,TRUE
class_diagrams/shigeya/omnetpp//classcIListener.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcIListener.png,TRUE
class_diagrams/shigeya/omnetpp//classcITimestampedValue.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcITimestampedValue.png,TRUE
class_diagrams/shigeya/omnetpp//classcKSplit.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcKSplit.png,TRUE
class_diagrams/shigeya/omnetpp//classcLCG32.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcLCG32.png,TRUE
class_diagrams/shigeya/omnetpp//classcLinkedList.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcLinkedList.png,TRUE
class_diagrams/shigeya/omnetpp//classcListener.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcListener.png,TRUE
class_diagrams/shigeya/omnetpp//classcLongHistogram.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcLongHistogram.png,TRUE
class_diagrams/shigeya/omnetpp//classcLongParImpl.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcLongParImpl.png,TRUE
class_diagrams/shigeya/omnetpp//classcMatchableString.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcMatchableString.png,TRUE
class_diagrams/shigeya/omnetpp//classcMatchExpression_1_1Matchable.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcMatchExpression_1_1Matchable.png,TRUE
class_diagrams/shigeya/omnetpp//classcMersenneTwister.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcMersenneTwister.png,TRUE
class_diagrams/shigeya/omnetpp//classcMessage.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcMessage.png,TRUE
class_diagrams/shigeya/omnetpp//classcMessageHeap.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcMessageHeap.png,TRUE
class_diagrams/shigeya/omnetpp//classcMethodCallContextSwitcher.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcMethodCallContextSwitcher.png,TRUE
class_diagrams/shigeya/omnetpp//classcModelChangeNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcModelChangeNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcModule.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcModule.png,TRUE
class_diagrams/shigeya/omnetpp//classcModule_1_1SubmoduleIterator.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcModule_1_1SubmoduleIterator.png,TRUE
class_diagrams/shigeya/omnetpp//classcModuleType.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcModuleType.png,TRUE
class_diagrams/shigeya/omnetpp//classcMsgPar.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcMsgPar.png,TRUE
class_diagrams/shigeya/omnetpp//classcNamedObject.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcNamedObject.png,TRUE
class_diagrams/shigeya/omnetpp//classcNEDFunction.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcNEDFunction.png,TRUE
class_diagrams/shigeya/omnetpp//classcNEDMathFunction.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcNEDMathFunction.png,TRUE
class_diagrams/shigeya/omnetpp//classcNoncopyableOwnedObject.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcNoncopyableOwnedObject.png,TRUE
class_diagrams/shigeya/omnetpp//classcNullEnvir.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcNullEnvir.png,TRUE
class_diagrams/shigeya/omnetpp//classcNumericResultFilter.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcNumericResultFilter.png,TRUE
class_diagrams/shigeya/omnetpp//classcNumericResultRecorder.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcNumericResultRecorder.png,TRUE
class_diagrams/shigeya/omnetpp//classcObject.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcObject.png,TRUE
class_diagrams/shigeya/omnetpp//classcObjectFactory.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcObjectFactory.png,TRUE
class_diagrams/shigeya/omnetpp//classcObjectResultFilter.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcObjectResultFilter.png,TRUE
class_diagrams/shigeya/omnetpp//classcOutputScalarManager.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcOutputScalarManager.png,TRUE
class_diagrams/shigeya/omnetpp//classcOutputVectorManager.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcOutputVectorManager.png,TRUE
class_diagrams/shigeya/omnetpp//classcOutVector.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcOutVector.png,TRUE
class_diagrams/shigeya/omnetpp//classcOwnedObject.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcOwnedObject.png,TRUE
class_diagrams/shigeya/omnetpp//classcPacket.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPacket.png,TRUE
class_diagrams/shigeya/omnetpp//classcPacketQueue.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPacketQueue.png,TRUE
class_diagrams/shigeya/omnetpp//classcPar.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPar.png,TRUE
class_diagrams/shigeya/omnetpp//classcParImpl.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcParImpl.png,TRUE
class_diagrams/shigeya/omnetpp//classcParsimCommunications.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcParsimCommunications.png,TRUE
class_diagrams/shigeya/omnetpp//classcPathChangeNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPathChangeNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostDisplayStringChangeNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostDisplayStringChangeNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostGateAddNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostGateAddNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostGateConnectNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostGateConnectNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostGateDeleteNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostGateDeleteNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostGateDisconnectNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostGateDisconnectNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostGateVectorResizeNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostGateVectorResizeNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostModuleAddNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostModuleAddNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostModuleDeleteNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostModuleDeleteNotification.png,TRUE
