repo,stargazers_count,GitHub URL,Total number of UML files,No. of .uml,No. of .xmi,No. of .svg,No. of .png,No. of .jpeg,No. of .bmp,No. of .jpg,No. of .gif,Model Link - Github
kubernetes/kubernetes,97422.0,http://github.com/kubernetes/kubernetes/,2,0,0,0,2,0,0,0,0,https://www.github.com/kubernetes/kubernetes/tree/master/docs/proposals/Kubemark_architecture.png
kubernetes/kubernetes,97422.0,http://github.com/kubernetes/kubernetes/,2,0,0,0,2,0,0,0,0,https://www.github.com/kubernetes/kubernetes/tree/master/docs/user-guide/monitoring-architecture.png
spring-projects/spring-framework,51460.0,http://github.com/spring-projects/spring-framework/,1,0,0,0,0,0,0,0,1,https://www.github.com/spring-projects/spring-framework/tree/master/src/asciidoc/images/aop-uml.gif
nodejs/node-v0.x-archive,34567.0,http://github.com/nodejs/node-v0.x-archive/,1,0,0,0,1,0,0,0,0,https://www.github.com/nodejs/node-v0.x-archive/tree/master/deps/uv/docs/src/static/architecture.png
odoo/odoo,28771.0,http://github.com/odoo/odoo/,1,0,0,0,1,0,0,0,0,https://www.github.com/odoo/odoo/tree/master/doc/howtos/web/viewarchitecture.png
medcl/elasticsearch-analysis-ik,14989.0,http://github.com/medcl/elasticsearch-analysis-ik/,1,1,0,0,0,0,0,0,0,https://www.github.com/medcl/elasticsearch-analysis-ik/tree/master/src/main/uml/IKAnalysisBinderProcessor.uml
FreeCAD/FreeCAD,13725.0,http://github.com/FreeCAD/FreeCAD/,2,2,0,0,0,0,0,0,0,https://www.github.com/FreeCAD/FreeCAD/tree/master/src/Doc/FreeCAD.uml
FreeCAD/FreeCAD,13725.0,http://github.com/FreeCAD/FreeCAD/,2,2,0,0,0,0,0,0,0,https://www.github.com/FreeCAD/FreeCAD/tree/master/src/Doc/PythonClassModel.uml
miloyip/rapidjson,12918.0,http://github.com/miloyip/rapidjson/,1,0,0,0,1,0,0,0,0,https://www.github.com/miloyip/rapidjson/tree/master/doc/diagram/architecture.png
Activiti/Activiti,9347.0,http://github.com/Activiti/Activiti/,1,0,0,0,1,0,0,0,0,https://www.github.com/Activiti/Activiti/tree/master/userguide/src/en/images/kickstart.diagram.png
mysql/mysql-server,8947.0,http://github.com/mysql/mysql-server/,1,0,0,0,1,0,0,0,0,https://www.github.com/mysql/mysql-server/tree/5.7/extra/rapidjson/doc/diagram/iterative-parser-states-diagram.png
Azure/azure-content,8721.0,http://github.com/Azure/azure-content/,4,0,0,0,4,0,0,0,0,https://www.github.com/Azure/azure-content/tree/master/articles/data-factory/media/data-factory-get-started-using-editor/getstarted-datafactoryblade-diagramtile.png
Azure/azure-content,8721.0,http://github.com/Azure/azure-content/,4,0,0,0,4,0,0,0,0,https://www.github.com/Azure/azure-content/tree/master/articles/media/data-factory-get-started/getstarted-datafactoryblade-diagramtile.png
Azure/azure-content,8721.0,http://github.com/Azure/azure-content/,4,0,0,0,4,0,0,0,0,https://www.github.com/Azure/azure-content/tree/master/articles/storage/media/storage-table-design-guide/storage-table-design-IMAGE03.png
Azure/azure-content,8721.0,http://github.com/Azure/azure-content/,4,0,0,0,4,0,0,0,0,https://www.github.com/Azure/azure-content/tree/master/articles/storage/media/storage-table-design-guide/storage-table-design-IMAGE12.png
SonarSource/sonarqube,7660.0,http://github.com/SonarSource/sonarqube/,1,0,0,0,0,0,0,0,1,https://www.github.com/SonarSource/sonarqube/tree/master/tests/upgrade/projects/struts-1.3.9-diet/core/src/main/java/org/apache/struts/action/doc-files/actionUML.gif
qgis/QGIS,7205.0,http://github.com/qgis/QGIS/,1,0,1,0,0,0,0,0,0,https://www.github.com/qgis/QGIS/tree/master/src/server/qgis_wms.xmi
apache/jmeter,6917.0,http://github.com/apache/jmeter/,2,0,0,0,0,0,0,0,2,https://www.github.com/apache/jmeter/tree/trunk/docs/images/screenshots/class_diagram.gif
apache/jmeter,6917.0,http://github.com/apache/jmeter/,2,0,0,0,0,0,0,0,2,https://www.github.com/apache/jmeter/tree/trunk/xdocs/images/screenshots/class_diagram.gif
google/lovefield,6844.0,http://github.com/google/lovefield/,1,0,0,0,1,0,0,0,0,https://www.github.com/google/lovefield/tree/master/docs/dd/images/query_engine_diagram.png
NorthwoodsSoftware/GoJS,6819.0,http://github.com/NorthwoodsSoftware/GoJS/,1,0,0,0,1,0,0,0,0,https://www.github.com/NorthwoodsSoftware/GoJS/tree/master/assets/images/screenshots/sequenceDiagram.png
gocd/gocd,6753.0,http://github.com/gocd/gocd/,3,0,0,0,3,0,0,0,0,https://www.github.com/gocd/gocd/tree/master/server/webapp/WEB-INF/rails.new/vendor/bundle/jruby/1.9/gems/yard-0.8.7.6/docs/images/code-objects-class-diagram.png
gocd/gocd,6753.0,http://github.com/gocd/gocd/,3,0,0,0,3,0,0,0,0,https://www.github.com/gocd/gocd/tree/master/server/webapp/WEB-INF/rails.new/vendor/bundle/jruby/1.9/gems/yard-0.8.7.6/docs/images/parser-class-diagram.png
gocd/gocd,6753.0,http://github.com/gocd/gocd/,3,0,0,0,3,0,0,0,0,https://www.github.com/gocd/gocd/tree/master/server/webapp/WEB-INF/rails.new/vendor/bundle/jruby/1.9/gems/yard-0.8.7.6/docs/images/tags-class-diagram.png
android-cn/android-open-project-analysis,6647.0,http://github.com/android-cn/android-open-project-analysis/,8,2,0,0,3,0,0,3,0,https://www.github.com/android-cn/android-open-project-analysis/tree/master/tool-lib/common/xutils/image/design.png
android-cn/android-open-project-analysis,6647.0,http://github.com/android-cn/android-open-project-analysis/,8,2,0,0,3,0,0,3,0,https://www.github.com/android-cn/android-open-project-analysis/tree/master/tool-lib/compatibility/nineoldanimations/uml/nineold-animations_uml.jpg
android-cn/android-open-project-analysis,6647.0,http://github.com/android-cn/android-open-project-analysis/,8,2,0,0,3,0,0,3,0,https://www.github.com/android-cn/android-open-project-analysis/tree/master/tool-lib/dependency-injection/dagger/images/uml_types.png
android-cn/android-open-project-analysis,6647.0,http://github.com/android-cn/android-open-project-analysis/,8,2,0,0,3,0,0,3,0,https://www.github.com/android-cn/android-open-project-analysis/tree/master/tool-lib/network/retrofit/image/retrofit-uml.png
android-cn/android-open-project-analysis,6647.0,http://github.com/android-cn/android-open-project-analysis/,8,2,0,0,3,0,0,3,0,https://www.github.com/android-cn/android-open-project-analysis/tree/master/tool-lib/other/base-adapter-helper/image/base-adapter-helper-ClassDiagram.jpg
android-cn/android-open-project-analysis,6647.0,http://github.com/android-cn/android-open-project-analysis/,8,2,0,0,3,0,0,3,0,https://www.github.com/android-cn/android-open-project-analysis/tree/master/view/image-view/photoview/images/startuml.jpg
android-cn/android-open-project-analysis,6647.0,http://github.com/android-cn/android-open-project-analysis/,8,2,0,0,3,0,0,3,0,https://www.github.com/android-cn/android-open-project-analysis/tree/master/tool-lib/other/base-adapter-helper/uml/base-adapter-helper.uml
android-cn/android-open-project-analysis,6647.0,http://github.com/android-cn/android-open-project-analysis/,8,2,0,0,3,0,0,3,0,https://www.github.com/android-cn/android-open-project-analysis/tree/master/tool-lib/plugin/dynamic-load-apk/uml/dlapkload.uml
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_11.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_12.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_13.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_14.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_15.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_16.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_17.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_18.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_19.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_20.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_21.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_22.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_29.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_3.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_37.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_38.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_39.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_41.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_42.gif
google/google-api-python-client,6494.0,http://github.com/google/google-api-python-client/,20,0,0,0,0,0,0,0,20,https://www.github.com/google/google-api-python-client/tree/master/docs/epy/uml_class_diagram_for_googleap_9.gif
me115/design_patterns,6255.0,http://github.com/me115/design_patterns/,1,0,0,0,0,0,0,1,0,https://www.github.com/me115/design_patterns/tree/master/_static/uml_class_struct.jpg
h2oai/h2o-3,6219.0,http://github.com/h2oai/h2o-3/,1,1,0,0,0,0,0,0,0,https://www.github.com/h2oai/h2o-3/tree/master/h2o-docs/src/product/architecture/src/run_glm_from_r.uml
ldcsaa/HP-Socket,5167.0,http://github.com/ldcsaa/HP-Socket/,2,1,0,0,0,0,0,1,0,https://www.github.com/ldcsaa/HP-Socket/tree/master/Doc/HP-Socket Class Diagram - v3.3.jpg
ldcsaa/HP-Socket,5167.0,http://github.com/ldcsaa/HP-Socket/,2,1,0,0,0,0,0,1,0,https://www.github.com/ldcsaa/HP-Socket/tree/master/Doc/HP-Socket Class Diagram - v3.3.uml
accord-net/framework,4355.0,http://github.com/accord-net/framework/,1,1,0,0,0,0,0,0,0,https://www.github.com/accord-net/framework/tree/master/Sources/Accord.Docs/Accord.Modeling/ModelDefinition/Accord.Documentation.uml
Freeyourgadget/Gadgetbridge,4050.0,http://github.com/Freeyourgadget/Gadgetbridge/,1,0,1,0,0,0,0,0,0,https://www.github.com/Freeyourgadget/Gadgetbridge/tree/master/app/src/main/assets/devintro.xmi
biolab/orange3,4039.0,http://github.com/biolab/orange3/,1,0,0,0,1,0,0,0,0,https://www.github.com/biolab/orange3/tree/master/doc/visual-programming/source/widgets/visualize/images/SieveDiagram-Titanic.png
Dolibarr/dolibarr,3932.0,http://github.com/Dolibarr/dolibarr/,1,1,0,0,0,0,0,0,0,https://www.github.com/Dolibarr/dolibarr/tree/develop/dev/uml/dolibarr.uml
CGAL/cgal,3824.0,http://github.com/CGAL/cgal/,5,0,0,0,5,0,0,0,0,https://www.github.com/CGAL/cgal/tree/master/Combinatorial_map/doc/Combinatorial_map/fig/Diagramme_class.png
CGAL/cgal,3824.0,http://github.com/CGAL/cgal/,5,0,0,0,5,0,0,0,0,https://www.github.com/CGAL/cgal/tree/master/GraphicsView/doc/GraphicsView/fig/uml-design.png
CGAL/cgal,3824.0,http://github.com/CGAL/cgal/,5,0,0,0,5,0,0,0,0,https://www.github.com/CGAL/cgal/tree/master/Linear_cell_complex/doc/Linear_cell_complex/fig/Diagramme_class.png
CGAL/cgal,3824.0,http://github.com/CGAL/cgal/,5,0,0,0,5,0,0,0,0,https://www.github.com/CGAL/cgal/tree/master/Surface_mesh_parameterization/doc/Surface_mesh_parameterization/fig/parameterizer_class_diagram.png
CGAL/cgal,3824.0,http://github.com/CGAL/cgal/,5,0,0,0,5,0,0,0,0,https://www.github.com/CGAL/cgal/tree/master/Surface_mesh_parameterization/doc/Surface_mesh_parameterization/fig/parameterizer_class_diagram_simplified.png
phpDocumentor/phpDocumentor2,3810.0,http://github.com/phpDocumentor/phpDocumentor2/,1,0,0,0,1,0,0,0,0,https://www.github.com/phpDocumentor/phpDocumentor2/tree/master/src/phpDocumentor/Plugin/Scrybe/docs/internals/images/TableOfContents_Class_Diagram.png
apache/maven,3573.0,http://github.com/apache/maven/,1,0,0,0,1,0,0,0,0,https://www.github.com/apache/maven/tree/master/maven-core/src/site/resources/design/2.1-lifecycle-refactor-sequence-diagram.png
code4craft/netty-learning,3479.0,http://github.com/code4craft/netty-learning/,2,0,0,0,2,0,0,0,0,https://www.github.com/code4craft/netty-learning/tree/master/asserts/diagram-channel-buffer.png
code4craft/netty-learning,3479.0,http://github.com/code4craft/netty-learning/,2,0,0,0,2,0,0,0,0,https://www.github.com/code4craft/netty-learning/tree/master/asserts/diagram-wrapped-channel-buffer.png
munificent/game-programming-patterns,3462.0,http://github.com/munificent/game-programming-patterns/,1,0,0,0,1,0,0,0,0,https://www.github.com/munificent/game-programming-patterns/tree/master/html/images/component-uml.png
OGRECave/ogre,3235.0,http://github.com/OGRECave/ogre/,1,0,0,0,1,0,0,0,0,https://www.github.com/OGRECave/ogre/tree/master/Docs/src/images/uml-overview.png
OculusVR/RakNet,3177.0,http://github.com/OculusVR/RakNet/,1,0,0,0,0,0,0,1,0,https://www.github.com/OculusVR/RakNet/tree/master/Help/RakNetUML.jpg
droolsjbpm/optaplanner,2990.0,http://github.com/droolsjbpm/optaplanner/,4,0,0,0,4,0,0,0,0,https://www.github.com/droolsjbpm/optaplanner/tree/master/optaplanner-docs/src/main/docbook/en-US/images/Chapter-Score_calculation/incrementalScoreCalculatorSequenceDiagram.png
droolsjbpm/optaplanner,2990.0,http://github.com/droolsjbpm/optaplanner/,4,0,0,0,4,0,0,0,0,https://www.github.com/droolsjbpm/optaplanner/tree/master/optaplanner-docs/src/main/docbook/en-US/images/Chapter-Score_calculation/scoreClassDiagram.png
droolsjbpm/optaplanner,2990.0,http://github.com/droolsjbpm/optaplanner/,4,0,0,0,4,0,0,0,0,https://www.github.com/droolsjbpm/optaplanner/tree/master/optaplanner-docs/src/main/docbook/en-US/images/Chapter-Use_cases_and_examples/examinationDomainDiagram.png
droolsjbpm/optaplanner,2990.0,http://github.com/droolsjbpm/optaplanner/,4,0,0,0,4,0,0,0,0,https://www.github.com/droolsjbpm/optaplanner/tree/master/optaplanner-docs/src/main/docbook/en-US/images/Chapter-Use_cases_and_examples/nQueensDomainDiagram.png
core-plot/core-plot,2754.0,http://github.com/core-plot/core-plot/,1,0,0,0,1,0,0,0,0,https://www.github.com/core-plot/core-plot/tree/master/documentation/images/ClassDiagram.png
saki4510t/UVCCamera,2673.0,http://github.com/saki4510t/UVCCamera/,1,0,0,0,1,0,0,0,0,https://www.github.com/saki4510t/UVCCamera/tree/master/libuvccamera/src/main/jni/rapidjson/doc/diagram/iterative-parser-states-diagram.png
qos-ch/logback,2669.0,http://github.com/qos-ch/logback/,2,1,0,0,0,0,0,1,0,https://www.github.com/qos-ch/logback/tree/master/logback-site/src/site/resources/manual/images/chapters/appenders/appenderClassDiagram.jpg
qos-ch/logback,2669.0,http://github.com/qos-ch/logback/,2,1,0,0,0,0,0,1,0,https://www.github.com/qos-ch/logback/tree/master/logback-site/src/site/resources/manual/images/chapters/appenders/appender.uml
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/builder/mr.simple/images/builder-uml.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/command/lijunhuayc/images/lijunhuayc_uml.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/iterator/haoxiqiang/images/Iterator_UML_class_diagram.svg.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/prototype/mr.simple/images/prototype-uml.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/proxy/singwhatiwanna/images/proxy-uml.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/strategy/gkerison/images/strategy-kerison-uml-android-animation-matrix.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/strategy/gkerison/images/strategy-kerison-uml-android-animation.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/strategy/gkerison/images/strategy-kerison-uml-android-interpolator.png
