Project,Last_Activity,Contributors,Stargazers,UML_Files,UML_Files_Length,Lines_of_Code,UML_LOC_ratio_scaled
stefanoborini/modelviewcontroller-src/,2024-07-16 04:51:11+00:00,1.0,37.0,"['01-basics-of-mvc/images/DocumentViewDesign.png', '02-mvc-variations/01-variations-on-the-model/images/application_model/model_model_view_controller.png', '02-mvc-variations/01-variations-on-the-model/images/caching_model/caching_model.png', '02-mvc-variations/01-variations-on-the-model/images/collection_model/collection_model.png', '02-mvc-variations/01-variations-on-the-model/images/compositing_model/compositing_model_design.png', '02-mvc-variations/01-variations-on-the-model/images/compositing_model/compositingmodel.png', '02-mvc-variations/01-variations-on-the-model/images/proxy_model/proxy_model.png', '02-mvc-variations/01-variations-on-the-model/images/value_model/value_model.png', '02-mvc-variations/02-variations-on-the-view/images/passive_view/passive_view.png', '02-mvc-variations/02-variations-on-the-view/images/visibility_allowed_notifications/visibility_allowed_notifications.png', '02-mvc-variations/02-variations-on-the-view/images/visual_proxy/visual_proxy.png', '02-mvc-variations/04-variations-on-the-notification-strategy/images/delayed_model/delayed_model.png', '02-mvc-variations/04-variations-on-the-notification-strategy/images/lazy_model/lazy_model.png', '02-mvc-variations/04-variations-on-the-notification-strategy/images/passive_model/passive_model.png', '02-mvc-variations/04-variations-on-the-notification-strategy/images/pre_post_notification/pre_post_notification.png']",15,239185.0,0.00890672208354017
vijayakumarsuraj/UIAutomation/,2024-09-05 07:39:03+00:00,1.0,20.0,['Architecture/ModelDefinition/Architecture.uml'],1,81216.0,0.00174567825929993
Stefku/intellij-reference-diagram/,2024-11-14 12:13:33+00:00,3.0,108.0,"['doc/ExampleDiagram_ch.docksnet.app.MainClass.png', 'test/Example_InnerClasses.png']",2,164257.0,0.0017262406806193415
AbelianGroupInc/LmInterpreter/,2024-03-28 23:08:29+00:00,2.0,1.0,['UmlDiagram/UmCompiler_UML/UmCompiler_UML/ModelDefinition/UmCompiler_UML.uml'],1,86337.0,0.0016419108428418125
chmduquesne/blog/,2024-08-24 22:54:14+00:00,1.0,2.0,"['blog.chmd.fr/images/screenshot_recursif.png', 'blog.chmd.fr/images/screenshot_recursif.thumbnail.png', 'blog.chmd.fr/images/uml_dia.png', 'source/images/screenshot_recursif.png', 'source/images/uml_dia.png', 'source/images/weee.gif']",6,622598.0,0.001365489145600039
SeNDA-UAB/aDTNPlus/,2024-09-11 13:30:39+00:00,3.0,4.0,"['Docs/Figures/ActiveForwarding/bundleCD.uml', 'Docs/Figures/ActiveForwarding/processBundleAD.uml', 'Docs/Figures/ActiveForwarding/processBundleCD.uml', 'Docs/Figures/CD.uml', 'Docs/Figures/Frameworks/bundleCD.uml', 'Docs/Figures/RoutingReporting/bundleAgentCD.uml', 'Docs/Figures/RoutingReporting/bundleCD.uml', 'Docs/Figures/RoutingReporting/processBundleCD.uml', 'Docs/Figures/RoutingSelection/bundleCD.uml', 'Docs/Figures/RoutingSelection/processBundleAD.uml', 'Docs/Figures/RoutingSelection/processBundleCD.uml', 'Docs/Figures/bundleAgentAD.uml', 'Docs/Figures/bundleAgentCD.uml', 'Docs/Figures/bundleCD.uml', 'Docs/Figures/listenAppsCD.uml', 'Docs/Figures/listenAppsUpgradeCD.uml', 'Docs/Figures/neighbourDiscoveryCD.uml', 'Docs/Figures/processBundleAD.uml', 'Docs/Figures/processBundlesAD.uml', 'Docs/Figures/receiveBundlesAD.uml']",20,2319990.0,0.0012210878523546092
universAAL/ontology/,2024-09-06 05:54:56+00:00,9.0,13.0,"['ont.X73/x73.uml', 'ont.cryptographic/Cryptographic Ontology.uml', 'ont.cryptographic/src/main/javadoc/Cryptographic Services Ontology.png', 'ont.cryptographic/src/main/javadoc/Cryptographic Techniques Ontology.png', 'ont.dependability/Dependability.uml', 'ont.device/Device.uml', 'ont.handgestures/HandGestures.uml', 'ont.handgestures/src/main/handGesturesOnt.PNG', 'ont.health.disease/Disease.uml', 'ont.health.measurement/HealthMeasurement.uml', 'ont.languages/LanguageOntology.uml', 'ont.lddi.config.datapoints/OntClassDiagram.jpg', 'ont.lighting/documentation/ont.lighting class diagram 20.4.2011.png', 'ont.measurement/Measurement.jpg', 'ont.measurement/Measurement.uml', 'ont.orchestration/Asor.uml', 'ont.phWorld/documentation/ont.phWorld.location class diagram 20.4.2011.png', 'ont.phWorld/documentation/ont.phWorld.phThing class diagram 20.4.2011.png', 'ont.phWorld/documentation/ont.phWorld.shape class diagram 20.4.2011.png', 'ont.profile.contact/profile.contact.uml', 'ont.profile.health/HealthOntology.uml', 'ont.profile.ui.preferences/InteractionPreferences.uml', 'ont.recommendations/Recommendations.uml', 'ont.sysinfo/ont.sysinfo.uml', 'ont.unit/Unit.uml']",25,3349200.0,0.0010568022853308105
APmoss/CribbageMobile/,2024-06-11 22:54:37+00:00,0.0,1.0,"['ultimatecrib/CSharp/Cards/Cards.uml', 'ultimatecrib/CSharp/CribbageBoard/BOARD.BMP', 'ultimatecrib/CSharp/CribbageBoard/CribBoard1.bmp', 'ultimatecrib/CSharp/CribbageBoard/CribBoard2.jpg', 'ultimatecrib/CSharp/CribbageBoard/CribbageBoard.bmp', 'ultimatecrib/CSharp/CribbageBoard/CribbageBoard.uml', 'ultimatecrib/CSharp/Player/Player.uml']",7,1017344.0,0.0009738526811219478
the-virtual-brain/tvb-pin-paper/,2024-07-16 03:37:54+00:00,4.0,2.0,"['images/arch.png', 'images/architecture.jpg', 'images/ui_project_graph.png', 'images/ui_project_operations.png', 'images/ui_projects.png', 'images/ui_stimulus.png']",6,1010312.0,0.0008400235584581773
benlau/quickflux/,2024-11-07 05:15:19+00:00,7.0,329.0,['docs/concept/architecture.png'],1,169359.0,0.0008351724326374505
cechrist/cardoon/,2023-12-12 07:22:06+00:00,1.0,13.0,"['doc/cardoon3.png', 'doc/circuit_uml.png', 'doc/examples/memd_i.png']",3,598239.0,0.0007087321923606089
wp-plugins/richtexteditor/,2024-03-01 14:57:10+00:00,0.0,0.0,"['richtexteditor/images/arj.gif', 'richtexteditor/images/external.gif', 'richtexteditor/images/under.png', 'richtexteditor/images/unknown.gif']",4,927697.0,0.0006088521269956109
abulka/pynsource/,2024-11-09 15:06:43+00:00,4.0,287.0,"['Admin/doco-uml/OGL-like UML 2015.png', 'Admin/doco-uml/gui_uml.plantuml', 'Admin/doco-uml/gui_uml_01_sha_884410.png', 'Admin/doco-uml/gui_uml_latest.png', 'Admin/doco-uml/parse_model_uml.png', 'Admin/doco-uml/pynsource classentry dict 1.png', 'Admin/site-andypatterns/yUml vs Ogl render 1.png', 'Research/misc information and doco/PyNSource.png', 'Research/misc information and doco/pyNSourceUML_example01.gif', 'Research/misc information and doco/pyNsourceGuiReversingItself01.gif', 'Research/ogl tests 01/img_uml01.png', 'Research/overlap_removal_server/screenshots/example_client.png', 'Research/wx doco/Images/img_uml01.png', 'Research/wx doco/Images/outyuml.png', 'Research/wx doco/Images/outyuml_big.png', 'Research/wx form builder/Doco Custom Component.png', 'Research/wx form builder/Doco ogl Custom Component.png', 'Research/yuml_python/outyuml2.png', 'Research/yuml_python/yuml_order_example.png', 'Research/yuml_python/yuml_pynsource1_example.png', 'Research/yuml_python/yuml_pynsource2_example.png', 'Research/yuml_python/yuml_pynsource3_example.png', 'snap/gui/pynsource.png', 'src/dialogs/help-images/cytoscape.png', 'src/dialogs/help-images/gituml.jpg', 'src/dialogs/help-images/help01.jpg', 'src/dialogs/help-images/plantuml01.jpg', 'src/dialogs/help-images/pro.jpg', 'src/media/pro.png', 'src/media/pynsource.png', 'src/tests/testing-generate-java/java-ide-import-results/ess-first import diagram ess model.xmi', 'src/tests/testing-generate-java/java-ide-import-results/ess-pic01.png']",32,7428438.0,0.0006082862111841367
askpt/LAPR3/,2024-07-23 13:47:22+00:00,4.0,0.0,['Modeling/Modeling/ModelDefinition/Modeling.uml'],1,232819.0,0.0006064977180191348
andrenho/luisavm/,2024-11-09 16:56:09+00:00,1.0,1.0,['doc/sshot.png'],1,257000.0,0.0005490771489341154
ua-eas/ua-rice-2.1.9/,2024-03-14 23:47:33+00:00,0.0,0.0,"['krms/impl/src/main/java/org/kuali/rice/krms/impl/ui/doc-files/AgendaEditorController-1.png', 'src/site/docbook/db_diagrams/rice-krcr.png', 'src/site/docbook/db_diagrams/rice-kren.png', 'src/site/docbook/db_diagrams/rice-krew.png', 'src/site/docbook/db_diagrams/rice-krim.png', 'src/site/docbook/db_diagrams/rice-krlc.png', 'src/site/docbook/db_diagrams/rice-krms.png', 'src/site/docbook/db_diagrams/rice-krns.png', 'src/site/docbook/db_diagrams/rice-krsb.png', 'src/site/docbook/images/CampusMaintenanceDocument.png', 'src/site/docbook/images/CampusMaintenanceDocument2.png', 'src/site/docbook/images/DocOp_ActionRequest.png', 'src/site/docbook/images/DocOp_Ex1.png', 'src/site/docbook/images/DocOp_Ex2.png', 'src/site/docbook/images/DocOp_Ex3.png', 'src/site/docbook/images/DocOp_Ex4.png', 'src/site/docbook/images/DocOp_Ex5.png', 'src/site/docbook/images/DocOp_Ex6.png', 'src/site/docbook/images/DocOp_Ex7.png', 'src/site/docbook/images/DocOp_Ex8.png', 'src/site/docbook/images/DocOp_Ex9.png', 'src/site/docbook/images/KEW-PeopleFlow create new with type.png', 'src/site/docbook/images/KEW-PeopleFlow create new.png', 'src/site/docbook/images/KIM_architecture.png', 'src/site/docbook/images/KIM_architecture_detailed.png', 'src/site/docbook/images/KIM_responsibility.png', 'src/site/docbook/images/KNS.png', 'src/site/docbook/images/KNS_Architecture.png', 'src/site/docbook/images/KRAD classes 1.png', 'src/site/docbook/images/KRAD classes 2.png', 'src/site/docbook/images/KRAD-classes2.png', 'src/site/docbook/images/KRMS-Agenda.png', 'src/site/docbook/images/KRMS-AgendaEditor.png', 'src/site/docbook/images/KRMS-Rule1.png', 'src/site/docbook/images/KRMS-Rule2.png', 'src/site/docbook/images/KRMS_Execution_Log_Class_Diagram.png', 'src/site/docbook/images/Kim_type_lookup.png', 'src/site/docbook/images/NotificationTest.png', 'src/site/docbook/images/StateMaintenanceDocument.png', 'src/site/docbook/images/activation_type.png', 'src/site/docbook/images/architecture.png', 'src/site/docbook/images/campus_maintenance_overview.png', 'src/site/docbook/images/campus_type_inquiry.png', 'src/site/docbook/images/campus_type_lookup.png', 'src/site/docbook/images/campus_type_maintenance.png', 'src/site/docbook/images/channel_subscriptions2.png', 'src/site/docbook/images/country_inquiry.png', 'src/site/docbook/images/country_lookup.png', 'src/site/docbook/images/delegate_routing_rule_creation.png', 'src/site/docbook/images/delegate_rule.png', 'src/site/docbook/images/delegation_details.png', 'src/site/docbook/images/delete_course_request.png', 'src/site/docbook/images/document_type_notifications.png', 'src/site/docbook/images/global_resource_loader.png', 'src/site/docbook/images/group_overview.png', 'src/site/docbook/images/help/document_type_document.png', 'src/site/docbook/images/help/parameter_component_document.png', 'src/site/docbook/images/help/parameter_type_document.jpg', 'src/site/docbook/images/help/role_delegations.png', 'src/site/docbook/images/help/role_document.png', 'src/site/docbook/images/kim_type.png', 'src/site/docbook/images/kns_conceptual_view.png', 'src/site/docbook/images/kns_relational_view.png', 'src/site/docbook/images/krms ruleModel-20.png', 'src/site/docbook/images/krms-architecture.png', 'src/site/docbook/images/krms-ruleModel-20b.png', 'src/site/docbook/images/kuali_service_bus.png', 'src/site/docbook/images/parameter_component_inquiry.png', 'src/site/docbook/images/parameter_type_inquiry.png', 'src/site/docbook/images/parameter_type_lookup.png', 'src/site/docbook/images/parameter_type_maintenance_document.png', 'src/site/docbook/images/permission_inquiry.png', 'src/site/docbook/images/permission_lookup.png', 'src/site/docbook/images/responsibility_inquiry.png', 'src/site/docbook/images/responsibility_lookup.png', 'src/site/docbook/images/role_assignees.png', 'src/site/docbook/images/role_delegations.png', 'src/site/docbook/images/role_lookup.png', 'src/site/docbook/images/role_overview.png', 'src/site/docbook/images/role_permissions.png', 'src/site/docbook/images/role_responsibilities.png', 'src/site/docbook/images/role_responsibility_added.png', 'src/site/docbook/images/routing_rule_delegation.png', 'src/site/docbook/images/rule_inquiry.png', 'src/site/docbook/images/rule_maintenance_document_type_document.png', 'src/site/docbook/images/sample_bundled_implementation.png', 'src/site/docbook/images/sample_embedded_implementation.png', 'src/site/docbook/images/sample_thin_java_client_implementation.png', 'src/site/docbook/images/service_registry_bottom.png', 'src/site/docbook/images/service_registry_top.png', 'src/site/docbook/images/state_code_lookup.png']",91,29501299.0,0.0004344949405484808
sountex/COPTD/,2024-07-02 07:47:54+00:00,1.0,19.0,['TDModelingProject/ModelDefinition/TDModelingProject.uml'],1,348484.0,0.0004039415474744575
sones/sones/,2024-11-12 20:04:40+00:00,5.0,213.0,"['Documentation/media/connectors/graphvis.png', 'Documentation/media/connectors/new_step1.jpg', 'Documentation/media/connectors/new_step2.jpg', 'Documentation/media/developer/database/types/iobject.gif', 'Documentation/media/documentation/database/edges/classdiagram.png', 'Documentation/media/documentation/database/edges/classdiagram_edges.png', 'Documentation/media/documentation/database/edges/classdiagram_edges_.png', 'Documentation/media/documentation/database/edges/classdiagram_edges_trans.png', 'Documentation/media/documentation/database/edges/typeinterfaces.png', 'Documentation/media/documentation/plugins/database/indexinterfaces_overview.png', 'Documentation/media/documentation/plugins/database/indexinterfaces_overview_transparent.png', 'Documentation/media/documentation/plugins/database/solution_explorer_good_quali.jpg', 'Documentation/media/graphfs.png', 'Documentation/media/path2366_1_.png', 'Documentation/media/software_architecture_2.0_customer_ready_.png', 'Documentation/media/sones_visualgraph.png', 'Documentation/media/tutorials/messenger1.png', 'Documentation/media/tutorials/messenger2.png', 'Documentation/media/tutorials/mule-esb-graphdb-2.png', 'Documentation/media/tutorials/mule-example.png', 'Installer/pics/bannrbmp.bmp', 'Installer/pics/dlgbmp.bmp']",22,8246454.0,0.000375274867401007
tlin-fei/ds4p/,2024-01-13 23:52:04+00:00,0.0,1.0,"['DS4P/acs-showcase/ACS Showcase Class Diagram.png', 'DS4P/acs-showcase/ACS Showcase Sequence  Diagram PixMgr Functionality.png', 'DS4P/consent-gen/Consent - Gen Class Diagram.png', 'DS4P/consent-gen/Consent - Gen Sequence  Diagram Export Functionality.png', 'DS4P/consent2share/web/src/main/webapp/resources/img/consent2share-02.png', 'DS4P/consent2share/web/src/main/webapp/resources/img/consent2share-02.svg', 'DS4P/consent2share/web/src/main/webapp/resources/img/consent2share-03.png', 'DS4P/consent2share/web/src/main/webapp/resources/img/consent2share-03.svg', 'DS4P/consent2share/web/src/main/webapp/resources/img/consent2share-04.png', 'DS4P/consent2share/web/src/main/webapp/resources/img/consent2share-04.svg', 'DS4P/consent2share/web/src/main/webapp/resources/img/create.png', 'DS4P/consent2share/web/src/main/webapp/resources/img/de.png', 'DS4P/consent2share/web/src/main/webapp/resources/img/delete.png', 'DS4P/consent2share/web/src/main/webapp/resources/img/en.png', 'DS4P/consent2share/web/src/main/webapp/resources/img/es.png', 'DS4P/consent2share/web/src/main/webapp/resources/img/show.png', 'DS4P/consent2share/web/src/main/webapp/resources/img/update.png']",17,6462777.0,0.0003699658807243361
thomsmits/markdown-tools/,2024-09-24 19:45:06+00:00,1.0,15.0,['umlifier/data/example.uml'],1,503560.0,0.0002783803928643865
berlinbrown/openbotlist/,2024-08-17 22:11:57+00:00,1.0,2.0,"['botlist/docs/enterprise/UserLinks.png', 'botlist/docs/enterprise/UserLinks.xmi', 'botlist/docs/enterprise/system_feeds/SystemFeedItems.png', 'botlist/docs/enterprise/system_feeds/SystemFeedItems.xmi']",4,2668939.0,0.00020916597301300535
cjw-network/cjw_newsletter/,2024-01-09 23:24:13+00:00,2.0,17.0,"['doc/uml/cjw_newsletter_dbschema_v1.0.0.png', 'doc/uml/class_diagram.svg']",2,1419940.0,0.00019634820601439914
atoader/HilbertRTree/,2024-08-27 02:06:41+00:00,1.0,31.0,"['doc/Report/img/ClassDiagram.png', 'doc/Report/img/search1.png']",2,1524148.0,0.00018266528875970816
AnalogDevicesLyricLabs/dimple/,2024-04-02 07:25:15+00:00,4.0,80.0,"['doc/DimpleUserManual/images/Cpp.png', 'doc/DimpleUserManual/images/DetailedLayers.png', 'doc/DimpleUserManual/images/EventHierarchy.png', 'doc/DimpleUserManual/images/ObjectInstantiation1.png', 'doc/DimpleUserManual/images/ObjectInstantiation2.png', 'doc/DimpleUserManual/images/ObjectInstantiation3.png', 'modelers/matlab/lib/xunit_dist/matlab_xunit/architecture/html/class_diagram_a.gif', 'modelers/matlab/lib/xunit_dist/matlab_xunit/architecture/html/class_diagram_b.gif', 'modelers/matlab/lib/xunit_dist/matlab_xunit/architecture/html/class_diagram_c.gif']",9,7224951.0,0.00017321311141887152
apache/batik/,2024-11-14 04:53:01+00:00,6.0,215.0,"['batik-svgbrowser/src/main/resources/org/apache/batik/apps/svgbrowser/resources/batik.gif', 'batik-svgbrowser/src/main/resources/org/apache/batik/apps/svgbrowser/resources/dom-viewer-small.png', 'batik-svgbrowser/src/main/resources/org/apache/batik/apps/svgbrowser/resources/dom-viewer.png', 'batik-svgbrowser/src/main/resources/org/apache/batik/apps/svgbrowser/resources/squiggle.png', 'samples/tests/spec12/structure/multi-2.jpg', 'samples/tests/spec12/structure/multi-3.jpg', 'test-references/org/apache/batik/svggen/rendering/ContextLookup.png', 'test-references/org/apache/batik/svggen/rendering/TransformCollapse.png', 'test-references/org/apache/batik/transcoder/image/anneWSW.png', 'test-references/org/apache/batik/transcoder/image/language.png', 'test-references/samples/tests/spec/scripting/image.png', 'test-references/samples/tests/spec12/structure/multi.png', 'test-resources/org/apache/batik/apps/rasterizer/notReadable.svg', 'test-resources/org/apache/batik/apps/rasterizer/readOnly.svg', 'test-resources/org/apache/batik/bridge/error/filter-uri-illegal.svg']",15,12351437.0,0.00016877304774977437
arcadenea/rockbot/,2024-08-11 21:17:27+00:00,2.0,5.0,"['docs/diagram.png', 'docs/diagram.xmi', 'editor/resources/icons/4a6b77ae99a98d0d3a0a68a6b5491305.png']",3,3733067.0,0.00011040430719751148
tracecompass/tracecompass/,2024-08-27 02:35:09+00:00,30.0,74.0,"['components.svg', 'doc/org.eclipse.tracecompass.doc.dev/doc/images/AddTmfUml2SDLoader.png', 'doc/org.eclipse.tracecompass.doc.dev/doc/images/NTTAddType.png', 'doc/org.eclipse.tracecompass.doc.dev/doc/images/NTTExtension.png', 'doc/org.eclipse.tracecompass.doc.dev/doc/images/NTTTraceType.png', 'doc/org.eclipse.tracecompass.doc.dev/doc/images/NewSampleLoaderClass.png', 'doc/org.eclipse.tracecompass.doc.dev/doc/images/SampleDiagram1.png', 'doc/org.eclipse.tracecompass.doc.dev/doc/images/Screenshot-NewPlug-inProject1.png', 'doc/org.eclipse.tracecompass.doc.dev/doc/images/TmfAddModelClass.png', 'doc/org.eclipse.tracecompass.doc.dev/doc/images/TmfAddModelPackage.png', 'doc/org.eclipse.tracecompass.doc.dev/doc/images/TmfAddStatisticsViewClass.png', 'doc/org.eclipse.tracecompass.doc.user/doc/images/CustomXMLParserInput.png', 'doc/org.eclipse.tracecompass.doc.user/doc/images/counters/sigma.gif', 'doc/org.eclipse.tracecompass.rcp.doc.user/doc/images/incubator/Update.png', 'rcp/org.eclipse.tracecompass.rcp.branding/splash.bmp', 'tmf/org.eclipse.tracecompass.tmf.ui/icons/obj16/class.gif']",16,21314687.0,0.00010287774803682862
sillsdev/libpalaso/,2024-11-12 04:41:14+00:00,30.0,44.0,"['DistFiles/test.png', 'SIL.Core/Progress/ProgressSystem.uml', 'SIL.Media.Tests/Resources/Image1.bmp', 'TestApps/Locks And Settings.svg']",4,7353986.0,7.350426677282656e-05
AnimalPlanet/pdf-to-mindmap-and-ppt-with-textrank/,2024-10-16 15:35:57+00:00,2.0,3.0,"['class-diagram.gif', 'final_class_diagram.gif', 'ofok.jpg', 'ofppt.png']",4,14224669.0,3.61758377525246e-05
asterisk/pjproject/,2024-10-29 14:10:51+00:00,30.0,6.0,"['pjnath/docs/UML-class-diagram.png', 'pjsip-apps/src/pjsua/android/app/src/main/res/drawable-ldpi/main_image.png', 'pjsip-apps/src/pjsua/symbian/gfx/pjsua.bmp', 'pjsip/docs/pjsua.jpg']",4,18691283.0,2.6628068602976686e-05
adityaapte/CERR/,2024-11-06 14:09:43+00:00,7.0,192.0,"['CERR_core/CERR.png', 'CERR_core/WebPage/images/data_import.png', 'CERR_core/WebPage/images/planC_structure.png', 'Unit_Testing/matlab_xunit_3/matlab_xunit/architecture/html/class_diagram_a.gif', 'Unit_Testing/matlab_xunit_3/matlab_xunit/architecture/html/class_diagram_b.gif', 'Unit_Testing/matlab_xunit_3/matlab_xunit/architecture/html/class_diagram_c.gif', 'Unit_Testing/matlab_xunit_3/matlab_xunit/doc/screen-shot.png']",7,36085779.0,2.378336940056647e-05
apache/activemq-artemis/,2024-11-14 17:11:19+00:00,30.0,947.0,"['docs/user-manual/_diagrams/multicast.svg', 'docs/user-manual/_diagrams/queue.svg', 'docs/user-manual/images/ha-scaledown.png', 'docs/user-manual/images/test.png']",4,36261185.0,1.189500705854689e-05
bestplay9384/LTE-Sim-Simulator/,2024-03-16 15:53:15+00:00,1.0,0.0,['DOC/uml.png'],1,37604471.0,0.0
